repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
enaqx/awesome-react,69529,2014-08-06 05:31:44+00:00,2024-12-06 20:56:37+00:00,N/A,0,780,113,109,4035,259,0.9646017699115044
hakimel/reveal.js,69464,2011-06-07 18:54:22+00:00,2025-08-05 08:24:50+00:00,JavaScript,49,409,2464,1690,5191,18,0.6858766233766234
josephmisiti/awesome-machine-learning,69422,2014-07-15 19:11:19+00:00,2025-08-13 18:34:54+00:00,Python,0,872,93,93,4057,10,1.0
swisskyrepo/PayloadsAllTheThings,69387,2016-10-18 07:29:07+00:00,2025-08-14 09:11:08+00:00,Python,5,548,0,0,3231,9,0.0
strapi/strapi,69252,2015-09-30 15:34:48+00:00,2025-08-22 18:15:15+00:00,TypeScript,478,9125,11189,10205,3615,1,0.9120564840468317
binary-husky/gpt_academic,69156,2023-03-20 09:05:13+00:00,2025-08-23 11:19:41+00:00,Python,32,224,1741,1478,887,0,0.848937392303274
tesseract-ocr/tesseract,69016,2014-08-12 18:04:59+00:00,2025-08-15 21:00:54+00:00,C++,34,1411,2726,2303,4029,7,0.8448275862068966
swiftlang/swift,68980,2015-10-23 21:15:07+00:00,2025-08-23 19:43:25+00:00,C++,60,55450,16783,9431,3591,0,0.5619376750283025
protocolbuffers/protobuf,68868,2014-08-26 15:52:15+00:00,2025-08-23 01:33:53+00:00,C++,195,7786,6640,6407,4015,0,0.9649096385542169
python/cpython,68498,2017-02-10 19:23:51+00:00,2025-08-23 16:27:51+00:00,Python,0,52827,73373,66133,3116,0,0.9013261008817958
browser-use/browser-use,68492,2024-10-31 16:00:56+00:00,2025-08-23 17:00:45+00:00,Python,74,990,1060,551,296,0,0.519811320754717
base/node,68464,2023-02-01 13:55:02+00:00,2025-08-14 13:15:56+00:00,Go,54,186,241,190,934,9,0.7883817427385892
sherlock-project/sherlock,68173,2018-12-24 14:30:48+00:00,2025-05-06 09:55:10+00:00,Python,1,642,1075,971,2434,109,0.9032558139534884
ocornut/imgui,67747,2014-07-21 14:29:47+00:00,2025-08-20 18:22:40+00:00,C++,114,405,6536,5524,4051,3,0.8451652386780906
apache/superset,67715,2015-07-21 18:55:34+00:00,2025-08-23 18:38:00+00:00,TypeScript,233,14847,11639,11171,3686,0,0.9597903599965633
expressjs/express,67583,2009-06-26 18:56:01+00:00,2025-08-22 07:12:09+00:00,JavaScript,160,461,3991,3887,5902,1,0.9739413680781759
openai/openai-cookbook,67371,2022-03-11 02:08:53+00:00,2025-08-21 14:52:16+00:00,Jupyter Notebook,0,863,602,558,1261,2,0.9269102990033222
Alvin9999/new-pac,67335,2016-03-23 08:43:36+00:00,2025-08-23 20:15:02+00:00,Python,0,0,1773,1334,3440,0,0.7523970671178793
rasbt/LLMs-from-scratch,67098,2023-07-23 18:15:57+00:00,2025-08-22 20:12:26+00:00,Jupyter Notebook,0,390,176,172,762,1,0.9772727272727273
punkpeye/awesome-mcp-servers,67063,2024-11-30 04:49:10+00:00,2025-08-23 18:23:07+00:00,N/A,0,921,103,74,266,0,0.7184466019417476
PKUFlyingPig/cs-self-learning,66660,2021-10-20 13:43:42+00:00,2025-08-19 14:18:37+00:00,HTML,5,297,210,104,1403,4,0.49523809523809526
chartjs/Chart.js,66408,2013-03-17 23:56:36+00:00,2025-08-18 04:22:01+00:00,JavaScript,116,3002,7266,6804,4541,5,0.9364161849710982
localsend/localsend,66388,2022-12-16 00:46:07+00:00,2025-08-21 00:36:58+00:00,Dart,24,667,1432,645,981,2,0.4504189944134078
obsproject/obs-studio,66353,2013-10-01 02:40:31+00:00,2025-08-23 17:53:32+00:00,C,223,5242,4607,3934,4344,0,0.8539179509442153
caddyserver/caddy,66335,2015-01-13 19:45:03+00:00,2025-08-23 01:46:20+00:00,Go,130,2128,4334,4156,3875,0,0.9589293954776188
ansible/ansible,66022,2012-03-06 14:58:02+00:00,2025-08-22 22:31:46+00:00,Python,162,39195,33033,32478,4918,0,0.983198619562256
fffaraz/awesome-cpp,65834,2014-07-17 08:51:11+00:00,2025-08-22 08:38:51+00:00,N/A,0,801,583,237,4055,1,0.4065180102915952
Eugeny/tabby,65665,2016-12-23 09:06:10+00:00,2025-08-22 20:34:05+00:00,TypeScript,200,1489,5727,3419,3165,0,0.5969966823817007
astral-sh/uv,65636,2023-10-02 20:24:11+00:00,2025-08-23 16:11:20+00:00,Rust,209,7211,7391,5465,691,0,0.7394127993505615
leonardomso/33-js-concepts,65532,2018-09-04 13:27:04+00:00,2025-08-18 10:06:29+00:00,JavaScript,0,252,103,81,2545,5,0.7864077669902912
webpack/webpack,65494,2012-03-10 10:08:14+00:00,2025-08-23 14:19:06+00:00,JavaScript,438,5110,10089,9970,4914,0,0.9882049757161264
modelcontextprotocol/servers,65424,2024-11-19 01:10:17+00:00,2025-08-23 19:24:04+00:00,TypeScript,19,891,635,458,277,0,0.721259842519685
nektos/act,65294,2019-01-02 19:53:43+00:00,2025-08-23 13:58:17+00:00,Go,88,1049,1281,1062,2425,0,0.8290398126463701
danielmiessler/SecLists,65126,2012-02-19 01:30:18+00:00,2025-08-23 14:03:32+00:00,PHP,28,681,298,292,4934,0,0.9798657718120806
AppFlowy-IO/AppFlowy,65047,2021-06-16 12:56:48+00:00,2025-08-20 02:52:32+00:00,Dart,111,3886,3622,2646,1529,3,0.7305356156819437
xtekky/gpt4free,64996,2023-03-29 17:00:43+00:00,2025-08-23 16:24:30+00:00,Python,337,820,1868,1861,878,0,0.9962526766595289
lydiahallie/javascript-questions,64786,2019-06-12 08:26:27+00:00,2024-08-04 16:08:40+00:00,N/A,0,328,250,233,2264,384,0.932
lobehub/lobe-chat,64759,2023-05-21 07:19:12+00:00,2025-08-23 12:02:19+00:00,TypeScript,1000,2515,4342,3443,825,0,0.7929525564256104
binhnguyennus/awesome-scalability,64694,2017-12-27 03:46:40+00:00,2025-07-26 06:03:03+00:00,N/A,0,36,0,0,2796,28,0.0
Stirling-Tools/Stirling-PDF,64563,2023-01-27 18:22:42+00:00,2025-08-23 01:04:41+00:00,Java,135,2220,1395,1077,939,0,0.7720430107526882
apache/echarts,64437,2013-04-03 03:18:59+00:00,2025-08-22 11:10:12+00:00,TypeScript,122,1448,19089,17231,4525,1,0.9026664571219026
kdn251/interviews,64384,2017-02-14 18:19:25+00:00,2025-05-12 12:56:04+00:00,Java,0,42,56,24,3112,103,0.42857142857142855
zed-industries/zed,64285,2021-02-20 03:01:06+00:00,2025-08-23 19:46:23+00:00,Rust,969,16397,14125,11510,1645,0,0.8148672566371682
awesomedata/awesome-public-datasets,64151,2014-11-20 06:20:50+00:00,2025-07-23 17:35:09+00:00,N/A,1,188,118,48,3929,31,0.4067796610169492
jesseduffield/lazygit,63941,2018-05-19 00:53:06+00:00,2025-08-20 08:45:36+00:00,Go,169,1690,2292,1596,2653,3,0.6963350785340314
kelseyhightower/nocode,63783,2018-02-06 23:54:00+00:00,2024-08-07 03:19:12+00:00,Dockerfile,1,1,4863,716,2754,381,0.14723421756117622
twitter/the-algorithm,63510,2023-03-27 14:57:57+00:00,2024-07-10 07:07:01+00:00,Scala,0,2,1010,729,880,409,0.7217821782178218
keras-team/keras,63360,2015-03-28 00:35:42+00:00,2025-08-22 17:48:22+00:00,Python,81,4243,12528,12295,3801,1,0.9814016602809706
juliangarnier/anime,63352,2016-03-13 21:37:45+00:00,2025-08-13 09:42:37+00:00,JavaScript,22,79,793,718,3449,10,0.905422446406053
scikit-learn/scikit-learn,63111,2010-08-17 09:43:38+00:00,2025-08-23 15:40:04+00:00,Python,47,13465,11655,10078,5485,0,0.8646932646932647
infiniflow/ragflow,62927,2023-12-12 06:13:13+00:00,2025-08-22 13:13:24+00:00,TypeScript,31,3746,4987,2303,620,1,0.4618006817726088
bradtraversy/design-resources-for-developers,62815,2020-05-06 14:40:35+00:00,2025-07-21 22:28:56+00:00,N/A,0,949,104,104,1935,32,1.0
TheAlgorithms/Java,62797,2016-07-16 10:21:02+00:00,2025-08-22 16:01:40+00:00,Java,0,2020,1108,1101,3325,1,0.9936823104693141
labmlai/annotated_deep_learning_paper_implementations,62697,2020-08-25 02:29:34+00:00,2025-08-21 07:04:16+00:00,Python,0,101,137,113,1824,2,0.8248175182481752
resume/resume.github.com,62594,2011-02-06 13:39:55+00:00,2023-02-15 06:38:51+00:00,JavaScript,0,84,122,66,5312,920,0.5409836065573771
chrislgarry/Apollo-11,62510,2014-04-03 15:45:02+00:00,2025-08-07 19:45:50+00:00,Assembly,0,343,382,326,4160,16,0.8534031413612565
All-Hands-AI/OpenHands,62457,2024-03-13 03:33:31+00:00,2025-08-23 18:44:03+00:00,Python,76,5127,3292,2954,528,0,0.8973268529769137
prakhar1989/awesome-courses,62367,2014-11-15 18:36:49+00:00,2023-05-04 12:49:34+00:00,N/A,0,194,81,39,3934,842,0.48148148148148145
socketio/socket.io,62325,2010-03-11 18:24:48+00:00,2025-08-16 07:10:41+00:00,TypeScript,75,435,3616,3423,5644,7,0.9466261061946902
